SenderActor,Action,ReceiverActor,Date,Latitude,Longitude,Country,Source
anti,protest,govt,2011-01-02,31.1981,29.9192,Egypt,gdelt
govt,repress,anti,2011-01-04,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-23,31.15,30.7669,Egypt,gdelt
anti,protest,govt,2011-01-25,27.181,31.1837,Egypt,gdelt
anti,protest,govt,2011-01-25,30.5877,31.502,Egypt,gdelt
anti,protest,govt,2011-01-25,31.1981,29.9192,Egypt,gdelt
anti,protest,govt,2011-01-25,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-25,30.085,31.2387,Egypt,gdelt
anti,protest,govt,2011-01-25,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-25,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-25,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-25,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-25,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-25,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-25,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-25,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-26,27.181,31.1837,Egypt,gdelt
anti,protest,govt,2011-01-26,29.9737,32.5263,Egypt,gdelt
anti,protest,govt,2011-01-26,27.181,31.1837,Egypt,gdelt
anti,protest,govt,2011-01-26,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-26,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-26,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-26,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-26,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-26,29.9737,32.5263,Egypt,gdelt
anti,protest,govt,2011-01-27,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-27,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-27,30.6043,32.2723,Egypt,gdelt
anti,protest,govt,2011-01-27,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-27,30.6043,32.2723,Egypt,gdelt
govt,repress,anti,2011-01-27,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-27,51.5,-0.116667,Egypt,gdelt
govt,repress,anti,2011-01-27,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-27,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-28,31.1981,29.9192,Egypt,gdelt
anti,protest,govt,2011-01-28,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-28,29.9737,32.5263,Egypt,gdelt
anti,protest,govt,2011-01-28,29.9737,32.5263,Egypt,gdelt
anti,protest,govt,2011-01-28,31.1981,29.9192,Egypt,gdelt
anti,protest,govt,2011-01-28,30.8358,30.6421,Egypt,gdelt
anti,protest,govt,2011-01-28,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-28,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-28,30.6043,32.2723,Egypt,gdelt
govt,repress,anti,2011-01-28,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-28,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-28,29.9737,32.5263,Egypt,gdelt
govt,repress,anti,2011-01-28,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-28,30.05,31.25,Egypt,gdelt
anti,protest,govt,2011-01-29,29.9737,32.5263,Egypt,gdelt
anti,protest,govt,2011-01-29,29.9737,32.5263,Egypt,gdelt
govt,repress,anti,2011-01-29,31.1981,29.9192,Egypt,gdelt
govt,repress,anti,2011-01-29,30.1363,31.075,Egypt,gdelt
govt,repress,anti,2011-01-29,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-29,30.05,31.25,Egypt,gdelt
govt,repress,anti,2011-01-29,30.05,31.25,Egypt,gdelt
