"SenderActor","Action","ReceiverActor","Date","Latitude","Longitude","Country","Source"
"govt","repress","anti",2003-03-21,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2004-03-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2005-06-29,30.0607,31.246,"Egypt","gdelt"
"anti","protest","govt",2006-04-27,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2006-04-28,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2006-05-07,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2006-05-17,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2006-06-01,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2006-06-13,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2006-12-12,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2007-03-16,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2007-03-22,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2007-03-22,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2007-05-02,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2007-05-30,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2007-05-30,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2007-05-31,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2008-06-07,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2008-06-08,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2008-11-24,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2009-01-01,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2009-01-02,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2009-01-19,31.2878,34.2369,"Egypt","gdelt"
"govt","repress","anti",2009-11-21,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-04-06,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-04-07,27.181,31.1837,"Egypt","gdelt"
"govt","repress","anti",2010-04-14,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-04-21,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2010-05-03,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-05-03,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2010-05-04,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-09-18,31.1316,33.7984,"Egypt","gdelt"
"anti","protest","govt",2010-09-21,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2010-09-21,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-09-21,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-10-05,31.1316,33.7984,"Egypt","gdelt"
"govt","repress","anti",2010-10-06,31.1316,33.7984,"Egypt","gdelt"
"govt","repress","anti",2010-11-23,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-11-24,30.0086,31.2122,"Egypt","gdelt"
"govt","repress","anti",2010-11-24,30.0086,31.2122,"Egypt","gdelt"
"govt","repress","anti",2010-11-24,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-11-24,30.0086,31.2122,"Egypt","gdelt"
"govt","repress","anti",2010-11-24,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2010-11-26,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2010-11-26,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2010-11-26,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2010-11-28,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2010-12-01,30.9,31,"Egypt","gdelt"
"anti","protest","govt",2011-01-02,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2011-01-04,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-01-23,31.15,30.7669,"Egypt","gdelt"
"anti","protest","govt",2011-01-25,27.181,31.1837,"Egypt","gdelt"
"anti","protest","govt",2011-01-25,30.5877,31.502,"Egypt","gdelt"
"anti","protest","govt",2011-01-25,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2011-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-01-25,30.085,31.2387,"Egypt","gdelt"
"anti","protest","govt",2011-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-01-25,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-25,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-25,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-01-26,27.181,31.1837,"Egypt","gdelt"
"anti","protest","govt",2011-01-26,29.9737,32.5263,"Egypt","gdelt"
"anti","protest","govt",2011-01-26,27.181,31.1837,"Egypt","gdelt"
"anti","protest","govt",2011-01-26,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-26,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-26,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-26,29.9737,32.5263,"Egypt","gdelt"
"anti","protest","govt",2011-01-27,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-01-27,30.6043,32.2723,"Egypt","gdelt"
"anti","protest","govt",2011-01-27,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-27,30.6043,32.2723,"Egypt","gdelt"
"govt","repress","anti",2011-01-27,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-27,51.5,-0.116667,"Egypt","gdelt"
"govt","repress","anti",2011-01-27,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-27,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-01-28,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2011-01-28,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-01-28,29.9737,32.5263,"Egypt","gdelt"
"anti","protest","govt",2011-01-28,29.9737,32.5263,"Egypt","gdelt"
"anti","protest","govt",2011-01-28,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2011-01-28,30.8358,30.6421,"Egypt","gdelt"
"anti","protest","govt",2011-01-28,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-28,30.6043,32.2723,"Egypt","gdelt"
"govt","repress","anti",2011-01-28,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-28,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-28,29.9737,32.5263,"Egypt","gdelt"
"govt","repress","anti",2011-01-28,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-28,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-01-29,29.9737,32.5263,"Egypt","gdelt"
"anti","protest","govt",2011-01-29,29.9737,32.5263,"Egypt","gdelt"
"govt","repress","anti",2011-01-29,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2011-01-29,30.1363,31.075,"Egypt","gdelt"
"govt","repress","anti",2011-01-29,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-29,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-29,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-29,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-30,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-30,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-31,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-31,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-01-31,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2011-02-01,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-02-01,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2011-02-01,30.05,31.25,"Egypt","gdelt"
