"SenderActor","Action","ReceiverActor","Date","Latitude","Longitude","Country","Source"
"govt","repress","anti","2011-01-16",37.0594,37.3825,"Turkey","ICEWS"
"govt","repress","anti","2011-04-08",37.3131,40.7436,"Turkey","ICEWS"
"govt","repress","anti","2011-04-19",39.9199,32.8543,"Turkey","ICEWS"
"govt","repress","anti","2011-04-20",41.0138,28.9497,"Turkey","ICEWS"
"govt","repress","anti","2011-04-20",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-04-20",41.0138,28.9497,"Turkey","ICEWS"
"govt","repress","anti","2011-04-20",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-04-21",41.0138,28.9497,"Turkey","ICEWS"
"govt","repress","anti","2011-04-21",41.0138,28.9497,"Turkey","ICEWS"
"govt","repress","anti","2011-04-21",37.9158,40.2189,"Turkey","ICEWS"
"govt","repress","anti","2011-04-21",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-04-22",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-05-02",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-05-16",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-05-16",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-05-17",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-05-22",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-06-01",39.9199,32.8543,"Turkey","ICEWS"
"govt","repress","anti","2011-06-03",41.0138,28.9497,"Turkey","ICEWS"
"govt","repress","anti","2011-06-03",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-06-09",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-06-12",36.5,36.25,"Turkey","ICEWS"
"govt","repress","anti","2011-06-14",39.7483,37.0161,"Turkey","ICEWS"
"govt","repress","anti","2011-06-14",39.7483,37.0161,"Turkey","ICEWS"
"govt","repress","anti","2011-06-23",41.0138,28.9497,"Turkey","ICEWS"
"govt","repress","anti","2011-06-28",39.0833,39.5,"Turkey","ICEWS"
"govt","repress","anti","2011-07-12",39.7522,39.4928,"Turkey","ICEWS"
"govt","repress","anti","2011-07-15",39.9199,32.8543,"Turkey","ICEWS"
"govt","repress","anti","2011-07-15",38.8847,40.4939,"Turkey","ICEWS"
"govt","repress","anti","2011-07-22",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2011-07-28",37.9158,40.2189,"Turkey","ICEWS"
"govt","repress","anti","2011-07-28",37.9158,40.2189,"Turkey","ICEWS"
"govt","repress","anti","2011-07-30",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-08-09",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-08-09",41.1087,42.7022,"Turkey","ICEWS"
"govt","repress","anti","2011-08-09",41.1087,42.7022,"Turkey","ICEWS"
"govt","repress","anti","2011-08-10",40.9847,37.8789,"Turkey","ICEWS"
"govt","repress","anti","2011-08-19",39.9199,32.8543,"Turkey","ICEWS"
"govt","repress","anti","2011-08-19",37.7517,42.1811,"Turkey","ICEWS"
"govt","repress","anti","2011-08-19",37.9326,41.9403,"Turkey","ICEWS"
"govt","repress","anti","2011-08-19",39.9199,32.8543,"Turkey","ICEWS"
"govt","repress","anti","2011-08-19",37.7517,42.1811,"Turkey","ICEWS"
"govt","repress","anti","2011-08-26",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-08-26",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-08-28",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2011-09-01",41.0138,28.9497,"Turkey","ICEWS"
"govt","repress","anti","2011-09-01",40.6202,29.2254,"Turkey","ICEWS"
"govt","repress","anti","2011-09-06",40.6202,29.2254,"Turkey","ICEWS"
"govt","repress","anti","2011-09-06",40.6202,29.2254,"Turkey","ICEWS"
"govt","repress","anti","2011-09-22",37.3272,42.1903,"Turkey","ICEWS"
"govt","repress","anti","2011-09-25",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2011-09-26",37.9357,42.5493,"Turkey","ICEWS"
"govt","repress","anti","2011-09-27",39.9167,32.8333,"Turkey","ICEWS"
