"SenderActor","Action","ReceiverActor","Date","Latitude","Longitude","Country","Source"
"govt","repress","anti","2012-06-11",37.2481,43.6136,"Turkey","ICEWS"
"govt","repress","anti","2012-06-15",37.9158,40.2189,"Turkey","ICEWS"
"govt","repress","anti","2012-06-19",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-06-19",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-06-19",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-19",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-06-19",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-19",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-19",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-19",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-20",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-20",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-20",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-20",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-06-20",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-20",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-20",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-06-22",38.9715,32.5174,"Turkey","ICEWS"
"govt","repress","anti","2012-06-25",39.0833,39.5,"Turkey","ICEWS"
"govt","repress","anti","2012-06-27",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-07-02",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-07-14",37.9158,40.2189,"Turkey","ICEWS"
"govt","repress","anti","2012-07-15",37.9158,40.2189,"Turkey","ICEWS"
"govt","repress","anti","2012-07-15",37.5694,43.1681,"Turkey","ICEWS"
"govt","repress","anti","2012-07-16",37.9158,40.2189,"Turkey","ICEWS"
"govt","repress","anti","2012-07-25",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-07-25",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-07-26",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-07-26",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-07-26",38.8847,40.4939,"Turkey","ICEWS"
"govt","repress","anti","2012-07-26",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-07-26",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-07-31",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-08-02",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-08-03",37.9326,41.9403,"Turkey","ICEWS"
"govt","repress","anti","2012-08-05",37.2481,43.6136,"Turkey","ICEWS"
"govt","repress","anti","2012-08-05",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-08-05",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-08-05",37.5744,43.7408,"Turkey","ICEWS"
"govt","repress","anti","2012-08-07",39.9167,32.8333,"Turkey","ICEWS"
"govt","repress","anti","2012-08-09",39.9167,32.8333,"Turkey","ICEWS"
