"SenderActor","Action","ReceiverActor","Date","Latitude","Longitude","Country","Source"
"anti","protest","govt",2013-01-01,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-08,27,30,"Egypt","gdelt"
"anti","protest","govt",2013-01-10,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-12,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-13,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-15,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-15,30.0086,31.2122,"Egypt","gdelt"
"govt","repress","anti",2013-01-15,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-15,31.2,29.9,"Egypt","icews"
"govt","repress","anti",2013-01-18,26.1642,32.7267,"Egypt","gdelt"
"anti","protest","govt",2013-01-19,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2013-01-19,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-19,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-19,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2013-01-19,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-20,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-20,31.2,29.9,"Egypt","icews"
"anti","protest","govt",2013-01-20,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-20,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-20,31.2,29.9,"Egypt","icews"
"govt","repress","anti",2013-01-20,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2013-01-20,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-20,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-20,31.2,29.9,"Egypt","icews"
"govt","repress","anti",2013-01-20,31.2,29.9,"Egypt","icews"
"govt","repress","anti",2013-01-20,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-20,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-20,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-20,31.2,29.9,"Egypt","icews"
"anti","protest","govt",2013-01-21,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2013-01-21,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-21,31.1981,29.9192,"Egypt","gdelt"
"anti","protest","govt",2013-01-23,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-23,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-23,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-24,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-24,27,30,"Egypt","gdelt"
"anti","protest","govt",2013-01-24,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-24,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-24,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-24,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-24,27,30,"Egypt","gdelt"
"anti","protest","govt",2013-01-24,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-24,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-24,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-24,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-24,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-24,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-24,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,28.1099,30.7503,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,31.2565,32.2841,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,27,30,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,27,30,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,30.6043,32.2723,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-25,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-25,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,31.2,29.9,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,31.4,31.8,"Egypt","icews"
"anti","protest","govt",2013-01-25,31.4,31.8,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,31.2,29.9,"Egypt","icews"
"anti","protest","govt",2013-01-25,31.2,29.9,"Egypt","icews"
"anti","protest","govt",2013-01-25,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-25,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-25,31.2,29.9,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,28.1099,30.7503,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,27,30,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,27,30,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,31.1981,29.9192,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,27,30,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-25,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-25,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,31.4,31.8,"Egypt","icews"
"govt","repress","anti",2013-01-25,31.4,31.8,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0453,31.2354,"Egypt","icews"
"govt","repress","anti",2013-01-25,31.2,29.9,"Egypt","icews"
"govt","repress","anti",2013-01-25,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-25,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-26,29.9737,32.5263,"Egypt","gdelt"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,31.2,29.9,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-26,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-26,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-26,29.9737,32.5263,"Egypt","gdelt"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-26,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-26,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-26,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-26,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-27,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-27,30.6043,32.2723,"Egypt","icews"
"anti","protest","govt",2013-01-27,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-27,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-27,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-27,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-27,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-27,30.0453,31.2354,"Egypt","icews"
"anti","protest","govt",2013-01-27,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-27,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-27,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-27,27,30,"Egypt","gdelt"
"govt","repress","anti",2013-01-27,30.6043,32.2723,"Egypt","icews"
"govt","repress","anti",2013-01-27,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-27,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-27,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-27,30.0453,31.2354,"Egypt","icews"
"govt","repress","anti",2013-01-27,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-28,29.9737,32.5263,"Egypt","gdelt"
"anti","protest","govt",2013-01-28,30.6043,32.2723,"Egypt","gdelt"
"anti","protest","govt",2013-01-28,30.6043,32.2723,"Egypt","gdelt"
"anti","protest","govt",2013-01-28,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-28,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0453,31.2354,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-28,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-28,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-28,30.6043,32.2723,"Egypt","icews"
"govt","repress","anti",2013-01-28,29.9737,32.5263,"Egypt","gdelt"
"govt","repress","anti",2013-01-28,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-28,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-28,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0453,31.2354,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,29.9737,32.5263,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-28,30.6043,32.2723,"Egypt","icews"
"govt","repress","anti",2013-01-28,29.9737,32.5263,"Egypt","icews"
"anti","protest","govt",2013-01-29,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-29,30.05,31.25,"Egypt","gdelt"
"anti","protest","govt",2013-01-29,30.6043,32.2723,"Egypt","gdelt"
"anti","protest","govt",2013-01-29,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-29,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-29,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-29,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-29,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-29,30.6043,32.2723,"Egypt","icews"
"anti","protest","govt",2013-01-29,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-29,31.2565,32.2841,"Egypt","icews"
"anti","protest","govt",2013-01-29,30.0626,31.2497,"Egypt","icews"
"anti","protest","govt",2013-01-29,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-29,31.0392,30.4691,"Egypt","gdelt"
"govt","repress","anti",2013-01-29,30.6043,32.2723,"Egypt","gdelt"
"govt","repress","anti",2013-01-29,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-29,30.6043,32.2723,"Egypt","gdelt"
"govt","repress","anti",2013-01-29,30.05,31.25,"Egypt","gdelt"
"govt","repress","anti",2013-01-29,30.6043,32.2723,"Egypt","gdelt"
"govt","repress","anti",2013-01-29,30.0626,31.2497,"Egypt","icews"
"govt","repress","anti",2013-01-29,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-29,30.6043,32.2723,"Egypt","icews"
"govt","repress","anti",2013-01-29,30.6043,32.2723,"Egypt","icews"
"govt","repress","anti",2013-01-29,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-29,31.2565,32.2841,"Egypt","icews"
"govt","repress","anti",2013-01-29,31.2565,32.2841,"Egypt","icews"
